brand,variety,style,country,stars,votes
Paldo Vina,Koreno Premium Ginseng Flavor,Pack,Vietnam,3.0,924
Mitoku,Brown Rice Ramen,Pack,Japan,0.25,2068
Hao Way,Penang Vegetarian Prawn Instant Noodles,Pack,Malaysia,4.5,2342
Myojo,Nyumen Desse Shoyu,Bowl,Japan,2.75,2304
Maggi,Perencah Kari Letup Mi Segera,Pack,Malaysia,4.0,1320
Nissin,Demae Iccho Mushroom With Vegetables Flavour Macaroni,Pack,Hong Kong,3.5,1826
Unzen,Mushroom Honpo Shiitake Nutritious Noodle,Pack,Japan,1.0,2333
Salam Mie,Mi Goreng Ala Jawa Dengan Sambal Cabe Asli,Pack,Indonesia,5.0,1232
Vina Acecook,Mikochi Tom Yum Flavor Instant Noodles,Pack,Vietnam,3.5,2043
Nongshim,Jinjja Jinjja (New),Pack,South Korea,5.0,2107
Chering Chang,Instant Non-Fried Noodles Shallot Pork Flavour,Pack,Taiwan,5.0,2462
Nissin,Top Ramen Super Noodles Tomato,Pack,India,3.5,773
Mama,Cup Rice Vermicelli Shrimp Creamy Tom Yum,Cup,Thailand,4.0,2072
Nissin,Original Chow Mein Premium Spicy Chicken Flavor,Tray,United States,4.0,3009
Uncle Sun,White Curry Noodle More Spicy,Pack,Malaysia,3.0,1689
JML,Emporer Instant Noodles Spicy Chicken,Pack,China,5.0,1842
Acecook,Jan Jan Dashi Shoyu Yakisoba,Cup,Japan,2.25,2477
Nongshim,Tteokgukmyun,Pack,South Korea,4.25,1618
Mom's Dry Noodle,Vegan Chilli With Sesame Sauce,Pack,Taiwan,5.0,2578
Mi E-Zee,Perisa Sayuran,Pack,Malaysia,3.5,2270
Mi E-Zee,Perisa Kari Sayuran,Pack,Malaysia,3.75,1213
E-mi,Mi Perencah Ayam Jagung,Pack,Malaysia,3.75,2050
Mi E-Zee,Perisa Bayam,Pack,Malaysia,3.5,1271
Mi E-Zee,Plain Noodles,Pack,Malaysia,,2476
J.J.,Snek Mi Perisa Ayam,Pack,Malaysia,3.75,1160
CarJEN,Nyonya Curry Laksa,Pack,Malaysia,5.0,1094
E-mi,Mi Perencah Asam Pedas,Pack,Malaysia,3.75,1431
J.J.,Snek Mi Perisa BBQ,Pack,Malaysia,4.0,1598
Mi E-Zee,Perisa Kari / Curry Flavour,Pack,Malaysia,4.0,2657
United,3 Con Tom Instant Noodles Thailand Sour Shrimp Flavor,Pack,Vietnam,2.75,1991
Emart,Dare You! Habanero Ramen (New Edition),Pack,South Korea,3.75,2146
Curry Prince,Penang Authentic White Curry Noodle,Pack,Malaysia,4.0,2537
Nissin,Gonbuto Tempura Udon,Bowl,Japan,4.0,1651
Mama,Pork Flavour Whole Wheat Noodle,Pack,Thailand,3.75,1711
Maggi,Authentic Indian Noodles Vegetable Atta Masala,Pack,India,3.75,1576
Paldo,Jjajangmen Chajang Noodle King Bowl,Bowl,South Korea,5.0,2392
Chering Chang,Steam Vegetarian Flavor Noodles,Pack,Taiwan,3.5,2817
Hao Way,Penang White Curry Instant Bowl Noodles,Bowl,Malaysia,4.75,2129
Master Kong,Artificial Seafood Flavor Instant Noodle,Pack,China,3.75,1688
Econsave,Choice Instant Noodles Curry Flavour,Pack,Malaysia,3.5,1740
Maruchan,"Big Cup Ramen Corn, Salt & Butter Flavor",Bowl,Japan,5.0,1444
Maggi,Mi Goreng Perencah Kari Ori,Pack,Malaysia,4.0,2366
Mama,Instant Noodles Cup Beef Flavour,Cup,Thailand,3.5,1469
Nissin,Emergency Cup Noodle,Cup,Japan,4.25,1873
Nissin,Cup Noodles Tomato Enjoy Noodles With Hot Soup,Cup,India,3.25,1416
Oyatsu,Baby Star Snack Noodle Chicken Flavour,Pack,Japan,2.5,1050
A-One,Mì Ly Instant Noodles Mì Thịt Xào Pork Flavor,Cup,Vietnam,3.0,730
Nongshim,Shin Ramyun Noodle Soup (New Edition),Pack,United States,4.25,1555
Koka,Purple Wheat Noodles Soy & Vinegar Flavor,Pack,Singapore,2.75,2109
Uncle Sun,White Curry Noodle,Pack,Malaysia,4.5,1841
Kin-Dee,Instant Rice Noodle Spicy Seafood,Tray,Thailand,3.75,1888
Master Kong,Spicy Beef Flavor Instant Noodle,Pack,China,4.0,1464
No Name,Beef Flavour Oriental Noodles And Soup Mix,Cup,Canada,2.0,1534
Hao Way,Penang Laksa,Pack,Malaysia,3.5,1466
Ching's Secret,Hot Garlic Instant Noodles,Pack,India,3.75,2106
Ko-Lee,Instant Noodles Taste Sensation Mixed Vegetable Flavour,Pack,UK,3.5,3024
ICA,Asia Fast Noodles Snabbnudlar Räksmak,Pack,Sweden,3.0,1932
Mamee,Mi Segera Perisa Itik,Pack,Malaysia,3.75,1315
Bamee,Oriental Style Instant Noodles Pa-Lo Duck Flavour,Pack,Thailand,3.5,2636
Myojo,Men Black Seafood Tonkotsu,Bowl,Japan,3.5,1501
Ibumie,Penang White CurryMee,Pack,Malaysia,5.0,2279
Sapporo Ichiban,Chow Mein Japanese Style Noodles Yakisoba,Pack,Canada,5.0,1779
Samyang Foods,Curry Noodle,Cup,Japan,3.75,2041
Vedan,Volcano Spicy Pork Noodle,Bowl,Taiwan,4.25,3716
Nissin,Demae Rice Vermicelli Beef Flavour,Pack,Hong Kong,3.5,1626
Nanyang Chef,Penang Asam Pedas Hot & Sour Noodle,Pack,Malaysia,5.0,1707
Thai Pavilion,Pad Thai Instant rice Noodles & Sauce,Tray,United States,1.5,2188
Maggi,2 Minute Noodles Hungrooo Masala Spicy,Pack,India,3.75,1989
Koka,Noodles Beef Flavour,Cup,Singapore,2.5,1797
Wu-Mu,Steam Pork Flavour,Pack,Taiwan,3.75,1656
Unif-100,Instant Noodles Artificial Shallot Beef Flavour,Pack,China,4.25,2295
New Touch,Kimchi Noodle,Bowl,Japan,3.5,2539
Sau Tao,Oat Noodle Tomato Soup Flavored,Pack,Hong Kong,4.5,1524
Wai Wai,Quick Zabb Chili Paste Tom Yum Flavour Instant Noodles,Pack,Thailand,3.75,1432
Paldo Vina,Koreno Premium Shrimp Flavor,Pack,Vietnam,3.25,2915
Sau Tao,Oat Noodle Pork Rib Flavored,Pack,Hong Kong,3.5,1287
Vit's,Seafood Instant Noodles,Pack,Malaysia,3.75,2358
Miliket,Sate Flavor Instant Noodles,Pack,Vietnam,3.75,2220
Lucky Me!,Special Instant Noodles Jjamppong Flavor,Pack,Philippines,4.5,1449
Lucky Me!,Special Instant sopas Chicken Flavor,Pack,Philippines,3.75,2380
Lucky Me!,Spicy Beef Mami Instant Noodle Soup,Pack,Philippines,4.0,1448
Lucky Me!,Special Instant Curly Spaghetti With Yummy Red Sauce,Pack,Philippines,4.0,1455
Lucky Me!,Supreme Pinoy Chicken Instant Noodles,Cup,Philippines,3.25,1305
Lucky Me!,Special Baked Mac Style Instant Macaroni,Pack,Philippines,4.5,2417
Lucky Me!,La Paz Batchoy Instant Noodle Soup,Pack,Philippines,3.75,1775
Pama,Instant Kua Teow Tom Yam,Cup,Malaysia,3.75,2543
Nissin,Chu Qian Yi Ding Spicy Sesame Flavour Instant Noodles With Soup Base,Pack,Singapore,3.5,1595
Paldo,Jjamppong Seafood Noodle King Bowl,Bowl,South Korea,5.0,2307
Vifon,Instant Porridge Seafood Flavour,Pack,Vietnam,3.25,2704
Maruchan,Gotsumori Sauce Yakisoba,Tray,Japan,5.0,1957
Yum Yum,Oriental Style Instant Noodles Wasabi Flavour,Pack,Thailand,3.0,1437
Ching's Secret,Manchurian Instant Noodles,Pack,India,3.5,1829
Mamee,Chef Gold Recipe Bihun Kari Seribu Rasa,Pack,Malaysia,4.5,2628
Katoz,Instant Noodles Spicy Chili,Pack,Sweden,3.5,2370
Men-Sunaoshi,Miso Ramen,Pack,Japan,3.75,1807
Nongshim,Neoguri Udon Seafood & Mild,Pack,South Korea,4.0,1128
Maggi,Royale Penang Seafood Curry,Pack,Malaysia,4.5,2358
Mama,Instant Noodles Tom Yum Pork Flavour,Pack,Thailand,4.0,2815
Chewy,Japanese Fried Ramen Noodles Kyoto Barbecue Sauce Flavour,Pack,Hong Kong,1.75,2824
Long Jun Hang,Tainan Yi Mien With Sesame Oil Sauce,Pack,Taiwan,3.25,2216
Knorr,Quick Serve Macaroni Wonton Broth,Pack,Hong Kong,3.25,1904
Nissin,Donbei Kitsune Udon Mini,Bowl,Japan,3.5,1607
Mamee,Chef Gold Recipe Mi Kari Seribu Rasa,Pack,Malaysia,5.0,1714
Nissin,Chu Qian Yi Ding Prawn Flavour Instant Noodles With Soup Base,Pack,Singapore,3.5,1175
Nissin,Cup Noodles Mug Noodles Spicy Vegetable,Pack,India,3.75,3067
Shan,Shoop Instant Noodles BBQ Flavour,Pack,Pakistan,3.25,1987
Master Kong,Stewed Beef Flavor Cooking Noodle,Pack,China,4.25,3192
Nongshim,Bowl Noodle Soup Shrimp Habanero Lime Flavor,Bowl,United States,3.25,1963
JML,Artificial Pork Flavor Noodles,Pack,China,4.0,1191
Acecook,Ohmori Chukafu Yakisoba,Tray,Japan,3.25,2931
MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5.0,1570
United,Instant Noodles Xi Gon Artificial Stewed Beef Flavor,Pack,Vietnam,3.25,1781
Samyang Foods,Sogokimyun Hot Flavor Noodle Soup,Pack,South Korea,3.5,2824
Nissin,Easy Fideos Picante Lime Shrimp Flavor Ramen Noodle Soup,Cup,United States,3.5,2729
Master Kong,Mianba Pork Ribs Flavor Instant Noodles,Pack,China,4.5,987
Super,Instant Noodles Mee Goreng,Cup,Malaysia,3.75,2001
Indomie,Pop Mie Chicken Flavour Cup Noodles,Cup,Indonesia,3.5,1455
Maruchan,Magomi-an Kitsune Udon (Eastern Japan Flavor),Bowl,Japan,4.25,2270
Wai Wai,Quick Zabb Tom Yum Shrimp Flavour Instant Noodles,Pack,Thailand,4.0,2906
Ottogi,Potato Ramen,Pack,South Korea,3.75,1741
Nissin,Soba Chili Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.5,2747
Maggi,Multigrainz Noodles Spice Remix,Pack,India,3.25,1536
Mom's Dry Noodle,Sichuan Spicy Flavor,Pack,Taiwan,5.0,3086
ICA,Asia Snabbnudlar Kycklingsmak,Pack,Sweden,3.25,1587
Mom's Dry Noodle,Onion Oil & Shrimp Flavor,Pack,Taiwan,5.0,1768
Nongshim,Spicy Tonkotsu Noodle Soup,Pack,United States,5.0,2148
Ibumie,Mee Baa..Gus Mi Goreng Spicier Original Flavour,Pack,Malaysia,3.75,1300
Four Seas,Hot & Spicy Instant Noodle (Mushroom & Beef Flavour),Pack,Hong Kong,4.0,2775
Maruchan,I Want To Eat Ramen' Shoyu Flavor,Pack,Japan,4.0,1465
Master Kong,Mushroom Stew Chicken Ramen,Pack,China,3.5,2307
Paldo,Jjol Bibim Men,Pack,South Korea,4.0,1355
Nissin,Cup Noodles Easy Fideos Tomato Chicken Flavor Ramen Noodle Soup,Cup,United States,3.5,2055
Ruski,Tom Yam Flavour Instant Noodles,Pack,Thailand,4.0,1995
Mama,Instant Noodles Moo Nam Tok Flavour,Pack,Thailand,4.0,1806
Thai Chef,Instant Nudelsuppe Shrimp Flavour,Pack,Germany,3.5,2245
Bamee,Cup Oriental Style Instant Noodles Chicken Flavour,Cup,Thailand,3.25,1442
Mama,Instant Noodle Shrimp Tom Yum Flavour Jumbo Pack,Pack,Thailand,4.0,2761
Mama,Instant Cup Noodles Shrimp Tom Yum Flavour (Extreme),Cup,Thailand,5.0,2101
Ruski,Chicken Masala Flavour Instant Fried Noodles,Pack,Thailand,3.75,604
Mama,Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack,Pack,Thailand,5.0,3003
Mama,Instant Cup Noodles Spicy Cheese Flavour,Cup,Thailand,3.5,2226
Bamee,Oriental Style Instant Noodles Beef Flavour,Pack,Germany,3.25,2777
Mama,Instant Cup Noodles Seafood Pad Kee Mao Flavour,Cup,Thailand,5.0,1912
Ruski,Creamy Tom Yam Instant Noodles,Pack,Thailand,4.5,869
Mama,Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack,Pack,Thailand,5.0,1790
Thai Chef,"Shrimp ""Tom Yum"" Instant Nudelsuppe",Pack,Germany,3.5,1387
Nanyang Chef,Penang White curry Noodle With Nanyang Chilli Paste,Pack,Malaysia,4.75,1981
Maruchan,Instant Lunch California Vegetable Ramen Noodles With Vegetables,Cup,United States,3.5,1759
Wei Lih,Steam Instant Noodles Korean Salt & Rib Soup Flavour,Bowl,Taiwan,2.25,2105
Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,Singapore,4.0,1118
Nissin,Premium Instant Noodles Spicy Beef Flavour,Pack,Singapore,3.75,2027
Nissin,Cup Noodles Tom Yam Veg Flavour,Cup,Singapore,4.0,1770
Nissin,Premium Instant Noodles Roasted Beef Flavour,Bowl,Singapore,3.75,2317
Nissin,Chu Qian Yi Ding Sesame Oil Flavour,Pack,Singapore,3.75,1154
Nissin,Cup Noodles Chicken Flavour,Cup,Singapore,3.5,1787
Nissin,Premium Instant Noodles XO Sauce Seafood Flavour,Pack,Singapore,3.75,2829
Nissin,Cup Noodles Chilli Crab Flavour,Cup,Singapore,4.0,1409
Nissin,Japanese Ramen Kyushu Black Instant Noodles With Soup Base,Pack,Singapore,5.0,2369
Nissin,Premium Instant Noodles Spicy Beef Flavour,Bowl,Singapore,3.75,2665
Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,4.0,1995
Nissin,Japanese Ramen Tokyo Shoyu Instant Noodles With Soup Base,Pack,Singapore,5.0,2494
Nissin,Cup Noodles Seafood Curry Flavour,Cup,Singapore,4.0,2521
Nissin,Premium Instant Noodles Roasted Beef Flavour,Pack,Singapore,4.25,2785
Nissin,Cup Noodles Cream Of Chicken Flavour,Cup,Singapore,4.0,1816
Myojo,Ippei-Chan Jumbo Night Market Style Yakisoba,Tray,Japan,4.5,1944
MyKuali,Penang Hokkien Prawn Noodle,Pack,Malaysia,5.0,2402
Maruchan,Instant Lunch Jalapeno Cheddar Flavor Ramen Noodles,Cup,United States,3.5,1627
Nongshim,Harmony Korean Spicy Noodle Dish With Chipotle,Pack,United States,4.25,2024
Maggi,2 Minute Noodles Tom Yam Flavour,Pack,Singapore,3.5,1651
Nissin,Souper Meal Chili Picante Chicken With Lime Flavor Ramen Noodle Soup,Bowl,United States,3.5,835
Wu-Mu,Dried Noodle With Beef Flavor Sauce,Pack,Taiwan,3.0,2167
Adabi,Mi Segera Mi Goreng Pedas Instant Noodles,Pack,Malaysia,3.5,2851
Maruchan,Old Style Miso Ramen,Pack,Japan,3.5,1814
Knorr,Quick Serve Macaroni Abalone & Chicken Flavour,Pack,Hong Kong,3.0,2042
Chencun,Rice Noodle Beef With Brown Sauce,Cup,China,3.5,1773
Maggi,2 Minute Noodles Assam Laksa Flavour,Pack,Singapore,4.0,1630
Maggi,Hot Cup Perisa Kari,Cup,Malaysia,3.5,2068
Maggi,2 Minute Noodles Curry Flavour,Pack,Singapore,3.75,2536
Maggi,Senses Laksa Instant Noodles,Pack,Singapore,5.0,3108
Maggi,Extra Spicy Curry Instant Noodles,Pack,Singapore,5.0,2413
Samyang Foods,Buldak Bokkummyeon,Bowl,South Korea,4.0,1519
Nissin,Sabor A Gallina Fideos Con Instantanea,Pack,Colombia,3.5,1286
Myojo,Chukazanmai Beijing Style Salt Ramen,Pack,Japan,3.0,2653
Osaka Ramen,Miso Ramen,Bowl,United States,3.75,2158
Ottogi,Cheese Bokki,Bowl,South Korea,4.0,1695
Hao Way,Instant Penang White Curry Noodles,Pack,Malaysia,4.5,1472
Sainsbury's,Curry Flavour Instant Noodles,Pack,UK,1.5,1596
Vina Acecook,King Chef Seafood With Kimchi Flavour,Pack,Vietnam,3.0,2617
Nissin,Pan Asian Kitchen Spicy Szechuan Chicken Flavor Ramen Noodles,Tray,United States,3.0,1989
Nongshim,Korean Clay Pot Ramyun Noodle,Cup,China,2.75,1300
Maruchan,I Want To Eat Ramen Shio,Pack,Japan,3.75,2436
Vifon,Ngon-Ngon Tom Yum Minced Pork Noodle,Cup,Vietnam,3.5,2155
Ottogi,Ppushu Ppushu Grilled Chicken Flavor,Pack,South Korea,1.0,1854
Sau Tao,Oat Noodle Abalone Flavored,Pack,Taiwan,1.75,2304
Myojo,Chukazanmai Szechuan Style Miso,Pack,Japan,2.0,1586
Chewy,Instant Rice Vermicelli Original Flavour,Pack,Hong Kong,0.5,2482
Paldo,Cheese Ramyun (for US market),Pack,South Korea,5.0,1288
Chering Chang,Curry La-Men,Pack,Taiwan,5.0,1548
Chewy,Non-Fried Ramen Noodles Taiwan Roast Pork Flavour,Pack,Hong Kong,4.0,1312
A-Sha Dry Noodle,Prince Katsu Snack Noodles,Pack,Taiwan,4.0,1792
Adabi,Mi Segera Tom Yam Instant Noodles,Pack,Malaysia,3.25,1621
Baixiang Noodles,Spicy Artificial Beef Flavour Instant Noodles With Soup Base,Pack,China,3.5,1819
Pamana,Chicken Sopas Creamy Macaroni Soup,Cup,Philippines,3.5,2002
Annie Chun's,Ramen House Thai Coconut Ramen,Pack,United States,5.0,2277
La Fonte,Spaghetti With Mushroom Sauce,Pack,Indonesia,3.75,2073
Maggi,Masala Dumdaar Noodles,Pack,India,3.75,2126
Thai Choice,Instant Noodles Seafood Flavour,Cup,Thailand,4.0,2802
Tesco,Everyday Value Chicken & Mushroom Flavour,Cup,UK,0.5,1867
Pop Bihun,Spesial Rasa Kari Ayam Pedas,Pack,Indonesia,3.75,1271
Myojo,Yomise No Yakisoba Shiodare Flavor With Black Pepper Mayonnaise,Tray,Japan,3.75,2476
Pulmuone,Nature Is Delicious Non-Fried Ramyun (Spicy Flavor) (New Version),Pack,South Korea,3.75,2918
Vina Acecook,Oh! Ricey Pho Bo Instant Rice Noodles,Bowl,Vietnam,3.75,2094
Nissin,Fried Noodle Specialist Tom Yam Mee Goreng Flavour,Pack,Singapore,3.0,2420
Wu-Mu,Steam Seafood Flavor Ramen,Pack,Taiwan,4.0,1672
Oyatsu,Baby Star Snack Noodle Yakisoba Flavor,Pack,Japan,4.75,2093
Snapdragon,Singapore Laksa Curry Soup Bowl,Bowl,United States,4.25,2319
Paldo,Mild Kokomen (Prototype),Pack,South Korea,4.5,2189
Saji,Sajimee Curry Soup Flavour,Pack,Malaysia,4.25,1730
Miracle Noodle,Miso Marvellous Soup,Pack,United States,4.0,2815
Shan,Shoop Instant Noodles Chicken Flavour,Pack,Pakistan,3.5,2086
Indomie,Mi Goreng Rasa Iga Penyet,Pack,Indonesia,4.75,2465
Tiger Tiger,Traveller's Choice Thai Red Curry Flavour Instant Noodles,Pack,UK,1.75,2203
Paldo,Barbecue Ramyun (Prototype),Pack,South Korea,3.75,2437
Takamori Kosan,Red Pepper 7 Garlic Peperoncino,Pack,Japan,4.0,2467
Takamori Kosan,Sukiyaki Style Noodle Stew,Pack,Japan,4.5,1892
Takamori Kosan,Yaki-Udon Roast Soy Sauce,Pack,Japan,3.75,2417
Takamori Kosan,Hiyashi Udon Bonito Sauce,Pack,Japan,3.0,3080
Takamori Kosan,Futomen Yakisoba,Pack,Japan,4.75,2999
Takamori Kosan,Hiyashi Chuka Lemon Sauce,Pack,Japan,4.75,2382
Takamori Kosan,Curry Udon,Pack,Japan,5.0,2844
Takamori Kosan,Chanpon,Pack,Japan,3.75,1346
Takamori Kosan,Shio Yakisoba,Pack,Japan,4.0,2736
Takamori Kosan,Yakisoba,Pack,Japan,5.0,2037
Takamori Kosan,Yaki-Udon Mild Spicy Sauce,Pack,Japan,4.25,1107
Takamori Kosan,Katsuo Dashi Udon,Pack,Japan,3.75,2083
Takamori Kosan,Spaghetti Napolitan,Pack,Japan,4.0,2488
Tokyo Noodle,Spicy Garlic Ramen,Pack,Japan,3.25,1652
Tesco,Everyday Value Beef & Tomato Flavour Noodles,Cup,UK,2.0,2969
Samyang Foods,Nagasaki Jjamppong,Cup,South Korea,3.75,2675
Campbell's,Hearty Noodles Thai Flavour,Cup,Canada,0.0,1362
Papa,Oriental Style Instant 'Kua-Chap',Pack,Thailand,3.25,2505
A-Sha Dry Noodle,Hello Kitty Za Jiang (Soybean Sauce),Pack,Taiwan,3.25,2056
Nissin,Soba Teriyaki Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.0,1724
Sawadee,Instant Noodles Vegetable & Mushroom Flavour,Pack,UK,1.5,1842
Nongshim,Sir Long Tang Creamy Beef Noodle Soup,Cup,United States,4.25,1778
Four Seas,Seaweed Hot & Spicy Instant Noodle Mushroom & Beef Flavour,Bowl,Hong Kong,3.5,1392
Golden Wheat,Korean Style Stew Pork Flavour Noodle Soup,Bowl,China,1.75,1776
Sau Tao,Instant Noodle King Won Ton Flavor,Pack,Hong Kong,2.75,2346
Mamee,Instant Noodles Curry Flavour,Pack,Malaysia,3.5,2713
Mamee,Chef Creamy Tom Yam Flavour,Pack,Malaysia,5.0,2729
Mamee,Monster BBQ Flavour Snack Noodles,Pack,Malaysia,3.75,1713
Mamee,Chef Curry Laksa Flavour,Cup,Malaysia,5.0,1941
Mamee,SLLRRRP! Asam Laksa,Pack,Malaysia,4.0,1570
Mamee,Mie Goreng Indonesia Spicy Sambal,Cup,Malaysia,5.0,2515
Mamee,Chef Spicy Chicken Shiitake Flavour,Pack,Malaysia,3.25,1176
Mamee,Instant Vermicelli Chicken Flavour,Pack,Malaysia,3.25,1318
Mamee,Chef Creamy Tom Yam Flavour,Cup,Malaysia,4.75,1682
Mamee,Instant Noodles Vegetarian Flavour,Pack,Malaysia,3.75,2126
Mamee,SLLRRRP! Kari Berapi,Pack,Malaysia,3.75,1839
Mamee,Monster Chicken Flavour Snack Noodles,Pack,Malaysia,4.0,2017
Mamee,Chef Curry Laksa Flavour,Pack,Malaysia,5.0,2024
Mamee,Mie Goreng Indonesia Original Flavour,Cup,Malaysia,4.5,2117
Mamee,Instant Vermicelli Tom Yam Flavour,Pack,Malaysia,3.75,1483
Paldo,Bulnak Bokkummyun Spicy Fried Octopus Ramyun,Pack,South Korea,4.0,1830
Oyatsu,Baby Star Ramen Round Consomme Mini,Pack,Japan,3.75,2289
Lotus Foods,Forbidden Rice Ramen,Pack,United States,2.25,2140
Lotus Foods,Millet & Brown Rice Ramen,Pack,United States,4.0,2547
Lotus Foods,Jade Pearl Rice Ramen,Pack,United States,3.25,1627
Ah Lai,White Curry Noodle,Pack,Malaysia,4.5,2453
Plats Du Chef,Cuisine Adventures Chicken Pho Soup,Bowl,Canada,5.0,2733
Indomie,Taste Of Asia Mi Goreng Rasa Bulgogi Ala Korea,Pack,Indonesia,2.75,1929
Kin-Dee,Instant Rice Noodle Pad Thai,Tray,Thailand,3.75,2133
Batchelors,Super Noodles Peppered Steak Flavour,Pack,UK,1.5,2113
Sakura Noodle,Chikara Brand Udon Beef Flavor,Pack,United States,4.25,2268
Shirakiku,Fresh Chow Mein Noodles With Seasoning,Pack,United States,3.75,2194
Sakura Noodle,Chikara Brand Udon Hot & Spicy Flavor,Pack,United States,4.0,2735
Sakura Noodle,Chikara Brand Udon Mushroom Flavor,Pack,United States,3.75,2257
Sakura Noodle,Chikara Brand Udon Oriental Flavor,Pack,United States,3.75,2432
Sakura Noodle,Chikara Brand Udon Chicken Flavor,Pack,United States,3.75,2166
Indomie,Taste Of Asia Mi Kuah Rasa Tom Yum Ala Thailand,Pack,Indonesia,3.75,1479
Sapporo Ichiban,Otafuku Okonomi Sauce Yakisoba,Tray,Japan,5.0,2217
Vifon,Oriental Style Instant Noodle Mi Ga Chicken Flavor,Cup,Vietnam,1.25,1885
A-Sha Dry Noodle,Hello Kitty La Wei (Spicy Flavor),Pack,Taiwan,3.75,1682
Unif,Unif-100 Instant Noodles Artificial Tart Beef Flavor,Pack,China,3.0,1553
Mamee,Mi Segera SLLRRRP! Perencah Kari Xtra Pedas,Pack,Malaysia,3.75,1965
Koka,Spicy Shrimp Tom Yam Flavour,Cup,Singapore,3.25,1696
Ruski,Instant Noodles Stewed Beef Flavour,Pack,Thailand,3.5,3020
Golden Wheat,Korean Style Mushroom Chicken Flavour Cooking Noodle,Pack,China,2.0,2798
Hi-Myon,Instant Noodle Udon Hot & Spicy,Pack,South Korea,4.0,1867
Takamori Kosan,Fresh Chow Mein Noodles With Seasoning,Pack,Japan,3.75,2355
Mama,Instant Noodles Cup Seafood Flavour,Cup,Thailand,3.75,2578
Adabi,Mi Segera Kari Ayam Instant Noodles,Pack,Malaysia,4.25,1914
Nissin,Spa Oh Tarako Spaghetti,Bowl,Japan,4.0,2924
Ve Wong,Little Prince Brand Snack Noodles Original Flavor,Pack,Taiwan,2.5,2461
Ottogi,Japchae Vermicelli Noodle,Pack,South Korea,2.75,1949
Sainsbury's,Chicken Flavour Instant Noodles,Pack,UK,2.75,1100
Paldo,Korean Traditional Beef Gomtangmen,Pack,South Korea,5.0,1517
Healtimie,Green Barley Noodle Vegetable Soup,Pack,Indonesia,3.25,2159
Maruchan,I Want To Eat Ramen Miso Flavor,Pack,Japan,3.75,1781
Pop Bihun,Spesial Rasa Soto Ayam,Pack,Indonesia,4.0,1990
Thai Kitchen,Rice Noodle Cart Thai Peanut,Tray,United States,3.0,1606
Yum Yum,Oriental Style Instant Noodles Seafood Flavour,Cup,Thailand,3.75,2123
Nongshim,Soon Veggie Noodle Soup,Pack,South Korea,5.0,1771
Nissin,Cup Noodle Cheese Curry,Cup,Japan,3.75,1224
Koka,Oriental Style Instant Noodles Tom Yam Flavour,Pack,Singapore,2.5,1829
A-Sha Dry Noodle,Instant Noodle Original Flavor,Pack,Taiwan,3.75,1714
Nissin,Demae Ramen Shoyu Tonkotsu Artificial Pork Flavour,Pack,Hong Kong,4.75,1224
Western Family,Instant Noodles In A Cup Chicken Flavour,Cup,Canada,1.5,2712
Mama,Instant Noodles Yentafo Tom Yum Mohfai Flavour,Pack,Thailand,5.0,1962
Knorr,Quick Serve Macaroni Shrimp Broth,Pack,Hong Kong,3.25,1837
Samyang Foods,Red Nagasaki Jjampong,Pack,South Korea,5.0,2375
Mr. Noodles,Noodles In A Cup Spicy Chicken Simulated Flavour,Cup,Canada,1.0,1959
Good Tto Leu Foods,Lightning Beef Bone Tteokguk Rice Cake Soup,Bowl,South Korea,4.0,2384
GaGa,Mie Gepeng Kuah Rasa Ayam Lada Hitam,Pack,Indonesia,3.25,1260
Wu-Mu,Ramen With Pickled Mustard Flavor,Pack,Taiwan,3.5,1482
Wu-Mu,Steam Mushroom Flavor Ramen,Pack,Taiwan,3.25,2273
Thai Choice,Instant Noodles Chicken Flavour,Cup,Thailand,3.0,2746
Myojo,Prawn Noodles,Pack,Singapore,4.25,2015
Nissin,Cup Noodles Sabor A Carne Sopa Con Fideos,Cup,Colombia,3.0,2108
A-One,Mì Ly Instant Noodles Mì Tôm Shrimp Flavor,Cup,Vietnam,3.25,1588
Nongshim,Sain Sain Garlic Teriyaki Fresh Cooked Udon Pasta,Tray,South Korea,4.5,1985
JML,Braised Beef Noodles,Pack,China,4.0,1646
Sau Tao,QQ Scallop Seafood Vermicelli,Bowl,Hong Kong,3.75,1920
Kimura,Kumamoto Tonkotsu Ramen,Pack,Japan,5.0,2361
Batchelors,Super Noodles Roast Beef & Onion Flavour,Pack,UK,3.25,1001
Lucky Me!,Supreme Chow Mein Seafood Flavor Instant Stir-Fried Noodles,Bowl,Philippines,3.25,2107
Thai Kitchen,Rice Noodle Cart Sweet Citrus Ginger,Tray,United States,4.25,1598
Nongshim,Oolongmen Kimchi Cup Noodle Soup Mix,Cup,South Korea,4.0,1677
Koka,Purple Wheat Noodles Aglio Olio,Pack,Singapore,2.75,2569
Tokachimen Koubou,Jet Black Sesame Oil Pork Tonkotsu,Bowl,Japan,2.25,2148
